timestamp,heart_rate,time_elapsed_seconds
2025-06-12 09:37:46+00:00,64,927.0
2025-06-12 09:37:51+00:00,59,932.0
2025-06-12 09:38:00+00:00,64,941.0
2025-06-12 09:38:02+00:00,69,943.0
2025-06-12 09:38:10+00:00,64,951.0
2025-06-12 09:38:19+00:00,63,960.0
2025-06-12 09:38:23+00:00,60,964.0
2025-06-12 09:38:32+00:00,61,973.0
2025-06-12 09:38:38+00:00,63,979.0
2025-06-12 09:38:43+00:00,65,984.0
2025-06-12 09:38:45+00:00,54,986.0
2025-06-12 09:38:46+00:00,66,987.0
2025-06-12 09:38:51+00:00,60,992.0
2025-06-12 09:38:53+00:00,62,994.0
2025-06-12 09:38:57+00:00,64,998.0
2025-06-12 09:39:02+00:00,60,1003.0
2025-06-12 09:39:07+00:00,61,1008.0
2025-06-12 09:39:09+00:00,62,1010.0
2025-06-12 09:39:16+00:00,59,1017.0
2025-06-12 09:39:18+00:00,66,1019.0
2025-06-12 09:39:19+00:00,62,1020.0
2025-06-12 09:39:25+00:00,62,1026.0
2025-06-12 09:39:29+00:00,60,1030.0
2025-06-12 09:39:34+00:00,60,1035.0
2025-06-12 09:39:41+00:00,62,1042.0
2025-06-12 09:39:44+00:00,62,1045.0
2025-06-12 09:39:49+00:00,66,1050.0
2025-06-12 09:39:53+00:00,60,1054.0
2025-06-12 09:39:58+00:00,61,1059.0
2025-06-12 09:40:03+00:00,69,1064.0
2025-06-12 09:40:06+00:00,61,1067.0
2025-06-12 09:40:08+00:00,56,1069.0
2025-06-12 09:40:12+00:00,59,1073.0
2025-06-12 09:40:14+00:00,61,1075.0
2025-06-12 09:40:23+00:00,59,1084.0
2025-06-12 09:40:27+00:00,66,1088.0
2025-06-12 09:40:30+00:00,61,1091.0
2025-06-12 09:40:35+00:00,58,1096.0
2025-06-12 09:40:40+00:00,60,1101.0
2025-06-12 09:40:46+00:00,53,1107.0
2025-06-12 09:40:50+00:00,60,1111.0
2025-06-12 09:40:56+00:00,60,1117.0
2025-06-12 09:41:00+00:00,60,1121.0
2025-06-12 09:41:05+00:00,58,1126.0
2025-06-12 09:41:13+00:00,64,1134.0
2025-06-12 09:41:21+00:00,60,1142.0
2025-06-12 09:41:23+00:00,59,1144.0
2025-06-12 09:41:30+00:00,59,1151.0
2025-06-12 09:41:33+00:00,60,1154.0
2025-06-12 09:41:38+00:00,58,1159.0
2025-06-12 09:41:42+00:00,61,1163.0
2025-06-12 09:41:50+00:00,62,1171.0
2025-06-12 09:41:54+00:00,59,1175.0
2025-06-12 09:41:59+00:00,60,1180.0
2025-06-12 09:42:04+00:00,61,1185.0
2025-06-12 09:42:09+00:00,61,1190.0
2025-06-12 09:42:14+00:00,58,1195.0
2025-06-12 09:42:18+00:00,58,1199.0
2025-06-12 09:42:21+00:00,58,1202.0
2025-06-12 09:42:25+00:00,58,1206.0
2025-06-12 09:42:31+00:00,58,1212.0
2025-06-12 09:42:35+00:00,61,1216.0
2025-06-12 09:42:40+00:00,58,1221.0
2025-06-12 09:42:45+00:00,57,1226.0
2025-06-12 09:42:47+00:00,58,1228.0
2025-06-12 09:42:52+00:00,61,1233.0
2025-06-12 09:42:58+00:00,64,1239.0
2025-06-12 09:43:04+00:00,56,1245.0
2025-06-12 09:43:09+00:00,60,1250.0
2025-06-12 09:43:16+00:00,57,1257.0
2025-06-12 09:43:25+00:00,55,1266.0
2025-06-12 09:43:28+00:00,56,1269.0
2025-06-12 09:43:37+00:00,57,1278.0
2025-06-12 09:43:42+00:00,57,1283.0
2025-06-12 09:43:45+00:00,58,1286.0
2025-06-12 09:43:49+00:00,56,1290.0
2025-06-12 09:43:54+00:00,55,1295.0
2025-06-12 09:44:03+00:00,56,1304.0
2025-06-12 09:44:05+00:00,58,1306.0
2025-06-12 09:44:07+00:00,56,1308.0
2025-06-12 09:44:12+00:00,56,1313.0
2025-06-12 09:44:19+00:00,56,1320.0
2025-06-12 09:44:24+00:00,57,1325.0
2025-06-12 09:44:27+00:00,49,1328.0
2025-06-12 09:44:29+00:00,56,1330.0
2025-06-12 09:44:34+00:00,54,1335.0
2025-06-12 09:44:39+00:00,63,1340.0
2025-06-12 09:44:42+00:00,54,1343.0
2025-06-12 09:44:47+00:00,59,1348.0
2025-06-12 09:44:52+00:00,50,1353.0
2025-06-12 09:45:01+00:00,55,1362.0
2025-06-12 09:45:04+00:00,55,1365.0
2025-06-12 09:45:09+00:00,61,1370.0
2025-06-12 09:45:14+00:00,56,1375.0
2025-06-12 09:45:20+00:00,54,1381.0
2025-06-12 09:45:25+00:00,55,1386.0
2025-06-12 09:45:27+00:00,56,1388.0
2025-06-12 09:45:32+00:00,53,1393.0
2025-06-12 09:45:39+00:00,54,1400.0
2025-06-12 09:45:44+00:00,53,1405.0
2025-06-12 09:45:53+00:00,54,1414.0
2025-06-12 09:45:56+00:00,53,1417.0
2025-06-12 09:46:02+00:00,54,1423.0
2025-06-12 09:46:04+00:00,53,1425.0
2025-06-12 09:46:09+00:00,55,1430.0
2025-06-12 09:46:13+00:00,53,1434.0
2025-06-12 09:46:14+00:00,56,1435.0
2025-06-12 09:46:23+00:00,51,1444.0
2025-06-12 09:46:25+00:00,57,1446.0
2025-06-12 09:46:32+00:00,51,1453.0
2025-06-12 09:46:37+00:00,55,1458.0
2025-06-12 09:46:39+00:00,53,1460.0
2025-06-12 09:46:40+00:00,52,1461.0
2025-06-12 09:46:44+00:00,54,1465.0
2025-06-12 09:46:52+00:00,52,1473.0
2025-06-12 09:46:55+00:00,52,1476.0
2025-06-12 09:46:57+00:00,59,1478.0
2025-06-12 09:47:06+00:00,53,1487.0
2025-06-12 09:47:08+00:00,54,1489.0
2025-06-12 09:47:12+00:00,50,1493.0
2025-06-12 09:47:18+00:00,56,1499.0
2025-06-12 09:47:19+00:00,52,1500.0
2025-06-12 09:47:21+00:00,50,1502.0
2025-06-12 09:47:25+00:00,52,1506.0
2025-06-12 09:47:29+00:00,52,1510.0
2025-06-12 09:47:34+00:00,50,1515.0
2025-06-12 09:47:41+00:00,52,1522.0
2025-06-12 09:47:48+00:00,44,1529.0
2025-06-12 09:47:52+00:00,51,1533.0
2025-06-12 09:47:59+00:00,50,1540.0
2025-06-12 09:48:01+00:00,51,1542.0
2025-06-12 09:48:05+00:00,53,1546.0
2025-06-12 09:48:13+00:00,49,1554.0
2025-06-12 09:48:22+00:00,50,1563.0
