timestamp,success,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,gaze_direction,overall_confidence,pupil_classification,pupil_detected,iris_detected,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_magnitude,concentricity_score,pupil_circularity,time
2025-06-05 16:26:07.000,True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,121,124,0,0,0.0,0.0,0.7181191622721838,2025-06-05 16:26:07.000
2025-06-05 16:26:07.500,True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,122,125,0,0,0.0,0.0,0.6949495508558883,2025-06-05 16:26:07.500
2025-06-05 16:26:08.000,True,0.0,11.8,0.0,Center,0.4432469392207916,Unknown,True,False,36,219,0,0,0.0,0.0,0.5909959189610555,2025-06-05 16:26:08.000
2025-06-05 16:26:08.500,True,0.0,11.8,0.0,Center,0.2395858223127649,Unknown,True,False,96,93,0,0,0.0,0.0,0.3194477630836866,2025-06-05 16:26:08.500
2025-06-05 16:26:09.000,True,0.0,11.8,0.0,Center,0.5,Unknown,True,False,7,217,0,0,0.0,0.0,0.724145106735738,2025-06-05 16:26:09.000
2025-06-05 16:26:09.500,True,0.0,11.8,0.0,Center,0.2457006764875065,Unknown,True,False,97,97,0,0,0.0,0.0,0.327600901983342,2025-06-05 16:26:09.500
2025-06-05 16:26:10.000,True,0.0,11.8,0.0,Center,0.253881264986793,Unknown,True,False,109,102,0,0,0.0,0.0,0.338508353315724,2025-06-05 16:26:10.000
2025-06-05 16:26:10.500,True,0.0,11.8,0.0,Center,0.3461519392081946,Unknown,True,False,202,51,0,0,0.0,0.0,0.4615359189442595,2025-06-05 16:26:10.500
2025-06-05 16:26:11.000,True,0.0,11.8,0.0,Center,0.2531229257419751,Unknown,True,False,202,53,0,0,0.0,0.0,0.3374972343226334,2025-06-05 16:26:11.000
2025-06-05 16:26:11.500,True,0.0,11.8,0.0,Center,0.3373598645134041,Unknown,True,False,204,52,0,0,0.0,0.0,0.4498131526845389,2025-06-05 16:26:11.500
2025-06-05 16:26:12.000,True,0.0,11.8,0.0,Center,0.2414469696743226,Unknown,True,False,0,101,0,0,0.0,0.0,0.3219292928990969,2025-06-05 16:26:12.000
2025-06-05 16:26:12.500,True,0.0,11.8,0.0,Center,0.2317367921432542,Unknown,True,False,94,48,0,0,0.0,0.0,0.308982389524339,2025-06-05 16:26:12.500
2025-06-05 16:26:13.000,True,0.0,11.8,0.0,Center,0.3288417410139247,Unknown,True,False,125,102,0,0,0.0,0.0,0.438455654685233,2025-06-05 16:26:13.000
2025-06-05 16:26:13.500,True,0.0,11.8,0.0,Center,0.2363177903277591,Unknown,True,False,71,225,0,0,0.0,0.0,0.3150903871036788,2025-06-05 16:26:13.500
2025-06-05 16:26:14.000,True,0.0,11.8,0.0,Center,0.2376411171010176,Unknown,True,False,8,193,0,0,0.0,0.0,0.3168548228013568,2025-06-05 16:26:14.000
2025-06-05 16:26:14.500,True,0.0,11.8,0.0,Center,0.3088722432095616,Unknown,True,False,129,219,0,0,0.0,0.0,0.4118296576127488,2025-06-05 16:26:14.500
2025-06-05 16:26:15.000,True,0.0,11.8,0.0,Center,0.3915865687687027,Unknown,True,False,134,101,0,0,0.0,0.0,0.5221154250249369,2025-06-05 16:26:15.000
2025-06-05 16:26:15.500,True,0.0,11.8,0.0,Center,0.2687695807982125,Unknown,True,False,24,240,0,0,0.0,0.0,0.3583594410642833,2025-06-05 16:26:15.500
2025-06-05 16:26:16.000,True,0.0,11.8,0.0,Center,0.2335880365798203,Unknown,True,False,21,238,0,0,0.0,0.0,0.3114507154397605,2025-06-05 16:26:16.000
2025-06-05 16:26:16.500,True,0.0,11.8,0.0,Center,0.4224373614748191,Unknown,True,False,204,65,0,0,0.0,0.0,0.5632498152997588,2025-06-05 16:26:16.500
2025-06-05 16:26:17.000,True,2.5415384615384617,11.8,0.2153846153846154,Up-Right,0.7079942542757579,Normal,True,True,125,113,114,130,0.3115147189433321,0.3769705621133358,0.4735061003569688,2025-06-05 16:26:17.000
2025-06-05 16:26:17.500,True,0.0,11.8,0.0,Center,0.2339750590005402,Unknown,True,False,98,102,0,0,0.0,0.0,0.3119667453340537,2025-06-05 16:26:17.500
