time,active_energy_burned,basal_energy_burned,env_audio_exposure,heart_rate,physical_effort
2025-06-05 16:31:09+02:00,0.077,0.066,,,
2025-06-05 16:31:11+02:00,0.077,0.066,,,
2025-06-05 16:31:14+02:00,0.079,0.066,,,
2025-06-05 16:31:17+02:00,0.127,0.066,,78.0,
2025-06-05 16:31:19+02:00,0.089,0.066,,,
2025-06-05 16:31:22+02:00,0.127,0.066,,82.0,
2025-06-05 16:31:23+02:00,,,,82.0,
2025-06-05 16:31:24+02:00,0.141,0.066,,,
2025-06-05 16:31:27+02:00,0.141,0.066,,,
2025-06-05 16:31:29+02:00,0.077,0.066,,,
2025-06-05 16:31:32+02:00,0.077,0.066,,67.0,
2025-06-05 16:31:34+02:00,0.097,0.066,,,
2025-06-05 16:31:37+02:00,0.097,0.066,,65.0,
2025-06-05 16:31:40+02:00,0.077,0.066,,,
2025-06-05 16:31:42+02:00,0.077,0.066,,63.0,
2025-06-05 16:31:45+02:00,0.077,0.066,,,
2025-06-05 16:31:47+02:00,0.077,0.066,,62.0,
2025-06-05 16:31:49+02:00,,,,62.0,
2025-06-05 16:31:50+02:00,0.077,0.066,,,5.3
2025-06-05 16:31:52+02:00,0.097,0.066,,,
2025-06-05 16:31:54+02:00,,,,63.0,
2025-06-05 16:31:55+02:00,0.097,0.066,,,
2025-06-05 16:31:58+02:00,0.097,0.066,,,4.6
2025-06-05 16:32:00+02:00,0.077,0.066,,,
2025-06-05 16:32:01+02:00,,,,61.0,
2025-06-05 16:32:03+02:00,0.077,0.066,,,
2025-06-05 16:32:05+02:00,0.077,0.066,,60.0,
2025-06-05 16:32:08+02:00,0.077,0.066,,,
2025-06-05 16:32:10+02:00,0.077,0.066,,,
2025-06-05 16:32:12+02:00,,,,59.0,
2025-06-05 16:32:13+02:00,0.077,0.066,,,
2025-06-05 16:32:14+02:00,,,,58.0,
2025-06-05 16:32:15+02:00,0.077,0.066,,,
2025-06-05 16:32:18+02:00,0.077,0.066,,,
2025-06-05 16:32:19+02:00,,,,60.0,
2025-06-05 16:32:21+02:00,0.077,0.066,,,
2025-06-05 16:32:23+02:00,0.077,0.066,,,
2025-06-05 16:32:24+02:00,,,,62.0,
2025-06-05 16:32:26+02:00,0.077,0.066,,,
2025-06-05 16:32:28+02:00,0.077,0.066,,,
2025-06-05 16:32:31+02:00,0.103,0.066,,,
2025-06-05 16:32:32+02:00,,,,61.0,
2025-06-05 16:32:33+02:00,0.103,0.066,,,
2025-06-05 16:32:35+02:00,,,,61.0,
2025-06-05 16:32:36+02:00,0.097,0.066,,,
2025-06-05 16:32:38+02:00,0.077,0.066,,,
2025-06-05 16:32:39+02:00,,,,59.0,
2025-06-05 16:32:41+02:00,0.077,0.066,,,
2025-06-05 16:32:44+02:00,0.077,0.066,,,
2025-06-05 16:32:46+02:00,0.097,0.066,,,
2025-06-05 16:32:47+02:00,,,,58.0,
2025-06-05 16:32:49+02:00,0.097,0.066,,,
2025-06-05 16:32:51+02:00,0.095,0.066,,,6.5
2025-06-05 16:32:52+02:00,,,,59.0,
2025-06-05 16:32:54+02:00,0.095,0.066,,,
2025-06-05 16:32:56+02:00,0.099,0.066,,,
2025-06-05 16:32:57+02:00,,,,60.0,
2025-06-05 16:32:59+02:00,0.099,0.066,,,
2025-06-05 16:33:02+02:00,0.095,0.066,,59.0,4.9
2025-06-05 16:33:04+02:00,0.077,0.066,,,
2025-06-05 16:33:07+02:00,0.077,0.066,,59.0,
2025-06-05 16:33:09+02:00,0.077,0.066,,,
2025-06-05 16:33:11+02:00,,,,60.0,
2025-06-05 16:33:12+02:00,0.077,0.066,,,
2025-06-05 16:33:13+02:00,,,,60.0,
2025-06-05 16:33:14+02:00,0.077,0.066,,,
2025-06-05 16:33:17+02:00,0.097,0.066,,,
2025-06-05 16:33:19+02:00,0.097,0.066,,,
2025-06-05 16:33:22+02:00,0.09,0.066,,58.0,
2025-06-05 16:33:23+02:00,,,,58.0,
2025-06-05 16:33:25+02:00,0.077,0.066,,,
2025-06-05 16:33:27+02:00,0.077,0.066,,,
2025-06-05 16:33:30+02:00,0.077,0.066,,60.0,
2025-06-05 16:33:32+02:00,0.077,0.066,,,
2025-06-05 16:33:35+02:00,0.077,0.066,,,
2025-06-05 16:33:36+02:00,,,,58.0,
2025-06-05 16:33:37+02:00,0.077,0.066,,,
2025-06-05 16:33:39+02:00,,,,59.0,
2025-06-05 16:33:40+02:00,0.097,0.066,,,
2025-06-05 16:33:43+02:00,0.103,0.066,,,
2025-06-05 16:33:45+02:00,0.103,0.066,,61.0,
2025-06-05 16:33:48+02:00,0.097,0.066,,,
2025-06-05 16:33:50+02:00,0.097,0.066,,,6.5
2025-06-05 16:33:52+02:00,,,,60.0,
2025-06-05 16:33:53+02:00,0.099,0.066,,,
2025-06-05 16:33:55+02:00,0.099,0.066,,,4.6
2025-06-05 16:33:57+02:00,,,,60.0,
2025-06-05 16:33:58+02:00,0.077,0.066,,,
2025-06-05 16:34:00+02:00,0.077,0.066,,60.0,
2025-06-05 16:34:03+02:00,0.077,0.066,,59.0,
2025-06-05 16:34:06+02:00,0.077,0.066,,,
2025-06-05 16:34:08+02:00,0.077,0.066,,63.0,
2025-06-05 16:34:11+02:00,0.077,0.066,,,
2025-06-05 16:34:13+02:00,0.097,0.066,,62.0,
2025-06-05 16:34:16+02:00,0.097,0.066,,,5.6
2025-06-05 16:34:18+02:00,0.097,0.066,,,
2025-06-05 16:34:21+02:00,0.097,0.066,,61.0,
2025-06-05 16:34:24+02:00,0.097,0.066,,,
2025-06-05 16:34:26+02:00,0.097,0.066,,60.0,
2025-06-05 16:34:29+02:00,0.097,0.066,,,
2025-06-05 16:34:31+02:00,0.097,0.066,,,
2025-06-05 16:34:32+02:00,,,,59.0,
2025-06-05 16:34:34+02:00,0.095,0.066,,,
2025-06-05 16:34:36+02:00,0.095,0.066,,58.0,
2025-06-05 16:34:39+02:00,0.097,0.066,,,
2025-06-05 16:34:40+02:00,,,,59.0,
2025-06-05 16:34:41+02:00,0.097,0.066,,,
2025-06-05 16:34:44+02:00,0.097,0.066,,,
2025-06-05 16:34:45+02:00,,,,60.0,
2025-06-05 16:34:47+02:00,0.097,0.066,,,
2025-06-05 16:34:48+02:00,,,,61.0,
2025-06-05 16:34:49+02:00,0.095,0.066,,,
2025-06-05 16:34:52+02:00,0.095,0.066,,,
2025-06-05 16:34:53+02:00,,,,59.0,
2025-06-05 16:34:54+02:00,0.097,0.066,,,
2025-06-05 16:34:57+02:00,0.097,0.066,,,
2025-06-05 16:34:59+02:00,0.097,0.066,,,4.4
2025-06-05 16:35:01+02:00,,,,61.0,
2025-06-05 16:35:02+02:00,0.077,0.066,,,
2025-06-05 16:35:03+02:00,,,,62.0,
2025-06-05 16:35:05+02:00,0.077,0.066,,,
2025-06-05 16:35:07+02:00,0.077,0.066,,,
2025-06-05 16:35:10+02:00,0.077,0.066,,,
2025-06-05 16:35:12+02:00,0.097,0.066,,58.0,
2025-06-05 16:35:15+02:00,0.097,0.066,,58.0,6.0
2025-06-05 16:35:17+02:00,0.09,0.066,,,
2025-06-05 16:35:18+02:00,,,,58.0,
2025-06-05 16:35:20+02:00,0.09,0.066,,,
2025-06-05 16:35:22+02:00,0.09,0.066,,,
2025-06-05 16:35:25+02:00,0.077,0.066,,,
2025-06-05 16:35:27+02:00,,,,58.0,
2025-06-05 16:35:28+02:00,0.09,0.066,,,
2025-06-05 16:35:30+02:00,0.095,0.066,,,
2025-06-05 16:35:32+02:00,,,,59.0,
2025-06-05 16:35:33+02:00,0.097,0.066,,,
2025-06-05 16:35:35+02:00,0.097,0.066,,61.0,
2025-06-05 16:35:38+02:00,0.103,0.066,,,
2025-06-05 16:35:40+02:00,0.103,0.066,,,
2025-06-05 16:35:41+02:00,,,,61.0,
2025-06-05 16:35:43+02:00,0.103,0.066,,,
2025-06-05 16:35:45+02:00,,,,60.0,
2025-06-05 16:35:46+02:00,0.099,0.066,,,
2025-06-05 16:35:48+02:00,0.099,0.066,,,
2025-06-05 16:35:51+02:00,0.09,0.066,,,3.1
2025-06-05 16:35:52+02:00,,,,58.0,
2025-06-05 16:35:53+02:00,0.09,0.066,,,
2025-06-05 16:35:56+02:00,0.041,0.066,,,
2025-06-05 16:35:57+02:00,,,,57.0,
2025-06-05 16:35:58+02:00,0.077,0.066,,57.0,
2025-06-05 16:36:01+02:00,0.077,0.066,,,5.7
2025-06-05 16:36:03+02:00,0.09,0.066,,,
2025-06-05 16:36:06+02:00,0.09,0.066,,,
2025-06-05 16:36:07+02:00,,,,58.0,
2025-06-05 16:36:09+02:00,0.095,0.066,,,
2025-06-05 16:36:10+02:00,,,,59.0,
2025-06-05 16:36:11+02:00,0.097,0.066,,,
2025-06-05 16:36:13+02:00,,,,59.0,
2025-06-05 16:36:14+02:00,0.095,0.066,,,
2025-06-05 16:36:16+02:00,0.097,0.066,,,
2025-06-05 16:36:18+02:00,,,,62.0,
2025-06-05 16:36:19+02:00,0.107,0.066,,,
2025-06-05 16:36:21+02:00,0.107,0.066,,,
2025-06-05 16:36:24+02:00,0.097,0.066,,,
2025-06-05 16:36:27+02:00,0.086,0.066,,57.0,
2025-06-05 16:36:29+02:00,0.078,0.066,,,
2025-06-05 16:36:31+02:00,,,,55.0,
2025-06-05 16:36:32+02:00,0.077,0.066,,,
2025-06-05 16:36:34+02:00,0.078,0.066,,,
2025-06-05 16:36:37+02:00,0.086,0.066,,57.0,
2025-06-05 16:36:39+02:00,0.086,0.066,,,
2025-06-05 16:36:42+02:00,0.082,0.066,,56.0,
2025-06-05 16:36:44+02:00,0.082,0.066,,56.0,
2025-06-05 16:36:47+02:00,0.082,0.066,,,
2025-06-05 16:36:50+02:00,0.082,0.066,,,
2025-06-05 16:36:51+02:00,,,,56.0,
2025-06-05 16:36:52+02:00,0.097,0.066,,,4.7
2025-06-05 16:36:55+02:00,0.097,0.066,,,
2025-06-05 16:36:57+02:00,0.097,0.066,,56.0,
2025-06-05 16:36:58+02:00,,,,56.0,
2025-06-05 16:37:00+02:00,0.077,0.066,,,
2025-06-05 16:37:02+02:00,0.077,0.066,,,5.6
2025-06-05 16:37:04+02:00,,,,56.0,
2025-06-05 16:37:05+02:00,0.082,0.066,,,
2025-06-05 16:37:07+02:00,0.082,0.066,,,
2025-06-05 16:37:10+02:00,0.082,0.066,,,
2025-06-05 16:37:11+02:00,,,,59.0,
2025-06-05 16:37:13+02:00,0.077,0.066,,60.0,4.6
2025-06-05 16:37:15+02:00,0.077,0.066,,,
2025-06-05 16:37:18+02:00,0.077,0.066,,,
2025-06-05 16:37:20+02:00,0.077,0.066,,,
2025-06-05 16:37:22+02:00,,,,73.0,
2025-06-05 16:37:23+02:00,0.077,0.066,,73.0,
2025-06-05 16:37:25+02:00,0.077,0.066,,,
2025-06-05 16:37:28+02:00,0.077,0.066,,,
2025-06-05 16:37:31+02:00,0.077,0.066,,,
2025-06-05 16:37:32+02:00,,,,67.0,
2025-06-05 16:37:33+02:00,0.077,0.066,,,
2025-06-05 16:37:36+02:00,0.097,0.066,,,
2025-06-05 16:37:37+02:00,,,,65.0,
2025-06-05 16:37:38+02:00,0.097,0.066,,,
2025-06-05 16:37:40+02:00,,,,63.0,
2025-06-05 16:37:41+02:00,0.077,0.066,,,
2025-06-05 16:37:43+02:00,0.077,0.066,,,
2025-06-05 16:37:46+02:00,0.077,0.066,,63.0,
2025-06-05 16:37:48+02:00,0.077,0.066,,64.0,
2025-06-05 16:37:51+02:00,0.116,0.066,,,6.5
2025-06-05 16:37:54+02:00,0.12,0.066,,65.0,
2025-06-05 16:37:56+02:00,0.12,0.066,,,
2025-06-05 16:37:59+02:00,0.129,0.066,,,
2025-06-05 16:38:01+02:00,0.129,0.066,,,
2025-06-05 16:38:02+02:00,,,,67.0,
2025-06-05 16:38:04+02:00,0.129,0.066,,,
2025-06-05 16:38:05+02:00,,,,67.0,
2025-06-05 16:38:06+02:00,0.129,0.066,,,
2025-06-05 16:38:09+02:00,0.107,0.066,,,
2025-06-05 16:38:12+02:00,0.107,0.066,,62.0,
2025-06-05 16:38:14+02:00,0.107,0.066,58.1359,,
2025-06-05 16:38:17+02:00,0.099,0.066,,60.0,
2025-06-05 16:38:19+02:00,0.099,0.066,,,
2025-06-05 16:38:21+02:00,,,,59.0,
2025-06-05 16:38:22+02:00,0.095,0.066,,,
2025-06-05 16:38:23+02:00,,,,59.0,
2025-06-05 16:38:24+02:00,0.095,0.066,,,
2025-06-05 16:38:27+02:00,0.095,0.066,,,
2025-06-05 16:38:29+02:00,0.086,0.066,,,
2025-06-05 16:38:32+02:00,0.086,0.066,,57.0,
2025-06-05 16:38:35+02:00,0.086,0.066,,,
2025-06-05 16:38:37+02:00,0.09,0.066,,58.0,
2025-06-05 16:38:38+02:00,,,,59.0,
2025-06-05 16:38:40+02:00,0.09,0.066,,,3.7
2025-06-05 16:38:42+02:00,0.077,0.066,,,
2025-06-05 16:38:45+02:00,0.077,0.066,,,
2025-06-05 16:38:46+02:00,,,,57.0,
2025-06-05 16:38:47+02:00,0.077,0.066,,,
2025-06-05 16:38:48+02:00,,,,57.0,
2025-06-05 16:38:50+02:00,0.086,0.066,,,5.8
2025-06-05 16:38:53+02:00,0.097,0.066,,,
2025-06-05 16:38:55+02:00,0.12,0.066,,,
2025-06-05 16:38:57+02:00,,,,65.0,
2025-06-05 16:38:58+02:00,0.12,0.066,,,
2025-06-05 16:39:00+02:00,0.112,0.066,,,
