time,active_energy_burned,basal_energy_burned,env_audio_exposure,heart_rate,physical_effort
2025-06-05 17:19:42+02:00,0.099,0.066,,,
2025-06-05 17:19:44+02:00,0.099,0.066,,,
2025-06-05 17:19:45+02:00,,,,60.0,
2025-06-05 17:19:47+02:00,0.097,0.066,,,6.2
2025-06-05 17:19:49+02:00,0.095,0.066,,,
2025-06-05 17:19:51+02:00,,,,59.0,
2025-06-05 17:19:52+02:00,0.095,0.066,,,
2025-06-05 17:19:54+02:00,0.097,0.066,,59.0,
2025-06-05 17:19:57+02:00,0.099,0.066,,,
2025-06-05 17:19:59+02:00,,,,60.0,
2025-06-05 17:20:00+02:00,0.099,0.066,,,
2025-06-05 17:20:02+02:00,0.099,0.066,,,
2025-06-05 17:20:05+02:00,0.095,0.066,,,
2025-06-05 17:20:06+02:00,,,,59.0,
2025-06-05 17:20:07+02:00,0.095,0.066,,,
2025-06-05 17:20:08+02:00,,,,59.0,
2025-06-05 17:20:10+02:00,0.095,0.066,,,
2025-06-05 17:20:12+02:00,0.095,0.066,,,
2025-06-05 17:20:15+02:00,0.095,0.066,,,
2025-06-05 17:20:16+02:00,,,,59.0,
2025-06-05 17:20:18+02:00,0.095,0.066,,,
2025-06-05 17:20:19+02:00,,,,59.0,
2025-06-05 17:20:20+02:00,0.095,0.066,,,
2025-06-05 17:20:22+02:00,,,,59.0,
2025-06-05 17:20:23+02:00,0.095,0.066,,,
2025-06-05 17:20:25+02:00,0.095,0.066,,,
2025-06-05 17:20:28+02:00,0.097,0.066,,,
2025-06-05 17:20:29+02:00,,,,60.0,
2025-06-05 17:20:30+02:00,0.099,0.066,,,
2025-06-05 17:20:33+02:00,0.104,0.066,,,
2025-06-05 17:20:35+02:00,0.104,0.066,,,
2025-06-05 17:20:36+02:00,,,,61.0,
2025-06-05 17:20:38+02:00,0.097,0.066,,,
2025-06-05 17:20:41+02:00,0.097,0.066,,61.0,
2025-06-05 17:20:42+02:00,,,,61.0,
2025-06-05 17:20:43+02:00,0.097,0.066,,,
2025-06-05 17:20:46+02:00,0.104,0.066,,,
2025-06-05 17:20:48+02:00,0.097,0.066,,66.0,
2025-06-05 17:20:51+02:00,0.097,0.066,,,4.6
2025-06-05 17:20:53+02:00,0.077,0.066,,69.0,
2025-06-05 17:20:56+02:00,0.077,0.066,,,
2025-06-05 17:20:57+02:00,,,,67.0,
2025-06-05 17:20:59+02:00,0.097,0.066,,,
2025-06-05 17:21:01+02:00,0.097,0.066,,,6.5
2025-06-05 17:21:04+02:00,0.163,0.066,,,
2025-06-05 17:21:06+02:00,0.163,0.066,,75.0,
2025-06-05 17:21:09+02:00,0.159,0.066,,,5.3
2025-06-05 17:21:11+02:00,0.114,0.066,,74.0,
2025-06-05 17:21:14+02:00,0.097,0.066,,,
2025-06-05 17:21:16+02:00,0.097,0.066,,69.0,6.5
2025-06-05 17:21:17+02:00,,,,69.0,
2025-06-05 17:21:19+02:00,0.133,0.066,,,
2025-06-05 17:21:22+02:00,0.133,0.066,,,
2025-06-05 17:21:23+02:00,,,,68.0,
2025-06-05 17:21:24+02:00,0.133,0.066,,,
2025-06-05 17:21:27+02:00,0.108,0.066,,,
2025-06-05 17:21:29+02:00,0.108,0.066,,,
2025-06-05 17:21:30+02:00,,,,62.0,
2025-06-05 17:21:32+02:00,0.108,0.066,,,
2025-06-05 17:21:33+02:00,,,,62.0,
2025-06-05 17:21:34+02:00,0.108,0.066,,,1.8
2025-06-05 17:21:37+02:00,0.041,0.066,,,
2025-06-05 17:21:40+02:00,0.041,0.066,,,
2025-06-05 17:21:41+02:00,,,,58.0,
2025-06-05 17:21:42+02:00,0.041,0.066,,,
2025-06-05 17:21:45+02:00,0.041,0.066,,58.0,
2025-06-05 17:21:47+02:00,0.041,0.066,,,
2025-06-05 17:21:49+02:00,,,,58.0,
2025-06-05 17:21:50+02:00,0.041,0.066,,,
2025-06-05 17:21:52+02:00,0.041,0.066,,58.0,
2025-06-05 17:21:55+02:00,0.041,0.066,,,
2025-06-05 17:21:57+02:00,0.041,0.066,,,
2025-06-05 17:22:00+02:00,0.041,0.066,,58.0,
2025-06-05 17:22:03+02:00,0.041,0.066,,,
2025-06-05 17:22:04+02:00,,,,58.0,
2025-06-05 17:22:05+02:00,0.041,0.066,,,
2025-06-05 17:22:07+02:00,,,,58.0,
2025-06-05 17:22:08+02:00,0.041,0.066,,,
2025-06-05 17:22:10+02:00,0.041,0.066,,,
2025-06-05 17:22:13+02:00,0.041,0.066,,,
2025-06-05 17:22:15+02:00,0.041,0.066,,,
2025-06-05 17:22:16+02:00,,,,58.0,
2025-06-05 17:22:18+02:00,0.091,0.066,,58.0,6.5
2025-06-05 17:22:21+02:00,0.091,0.066,,,
2025-06-05 17:22:23+02:00,0.099,0.066,,,
2025-06-05 17:22:24+02:00,,,,60.0,
2025-06-05 17:22:26+02:00,0.099,0.066,,,2.4
2025-06-05 17:22:28+02:00,0.041,0.066,,,
2025-06-05 17:22:31+02:00,0.041,0.066,,58.0,
2025-06-05 17:22:32+02:00,,,,58.0,
2025-06-05 17:22:33+02:00,0.041,0.066,,,
2025-06-05 17:22:36+02:00,0.041,0.066,,,
2025-06-05 17:22:38+02:00,0.041,0.066,,,
2025-06-05 17:22:41+02:00,0.041,0.066,,59.0,
2025-06-05 17:22:43+02:00,,,,59.0,
2025-06-05 17:22:44+02:00,0.041,0.066,,,
2025-06-05 17:22:46+02:00,0.077,0.066,,,
2025-06-05 17:22:49+02:00,0.077,0.066,,,
2025-06-05 17:22:50+02:00,,,,59.0,
2025-06-05 17:22:51+02:00,0.077,0.066,,,4.6
2025-06-05 17:22:53+02:00,,,,59.0,
2025-06-05 17:22:54+02:00,0.077,0.066,,,
2025-06-05 17:22:56+02:00,0.077,0.066,,,
2025-06-05 17:22:57+02:00,,,,59.0,
2025-06-05 17:22:59+02:00,0.097,0.066,,,
2025-06-05 17:23:02+02:00,0.097,0.066,,,6.4
2025-06-05 17:23:04+02:00,0.099,0.066,,,
2025-06-05 17:23:06+02:00,,,,60.0,
2025-06-05 17:23:07+02:00,0.099,0.066,,,
2025-06-05 17:23:09+02:00,0.099,0.066,,,
2025-06-05 17:23:11+02:00,,,,60.0,
2025-06-05 17:23:12+02:00,0.099,0.066,,,
2025-06-05 17:23:13+02:00,,,,60.0,
2025-06-05 17:23:14+02:00,0.099,0.066,,,
2025-06-05 17:23:17+02:00,0.097,0.066,,,
2025-06-05 17:23:19+02:00,0.097,0.066,,59.0,
2025-06-05 17:23:22+02:00,0.112,0.066,,,
2025-06-05 17:23:25+02:00,0.112,0.066,,63.0,
2025-06-05 17:23:27+02:00,0.112,0.066,,,
2025-06-05 17:23:28+02:00,,,,63.0,
2025-06-05 17:23:30+02:00,0.112,0.066,,,
2025-06-05 17:23:32+02:00,0.104,0.066,,,
2025-06-05 17:23:35+02:00,0.104,0.066,,,
2025-06-05 17:23:36+02:00,,,,61.0,
2025-06-05 17:23:37+02:00,0.104,0.066,,,2.0
2025-06-05 17:23:40+02:00,0.041,0.066,,,
2025-06-05 17:23:41+02:00,,,,59.0,
2025-06-05 17:23:42+02:00,0.041,0.066,,,
2025-06-05 17:23:45+02:00,0.041,0.066,,57.0,
2025-06-05 17:23:48+02:00,0.041,0.066,,,
2025-06-05 17:23:49+02:00,,,,57.0,
2025-06-05 17:23:50+02:00,0.041,0.066,,,
2025-06-05 17:23:53+02:00,0.041,0.066,,,
2025-06-05 17:23:54+02:00,,,,57.0,
2025-06-05 17:23:55+02:00,0.041,0.066,,,
2025-06-05 17:23:58+02:00,0.041,0.066,,,
2025-06-05 17:24:00+02:00,0.041,0.066,,56.0,
2025-06-05 17:24:02+02:00,,,,55.0,
2025-06-05 17:24:03+02:00,0.087,0.066,,,6.2
2025-06-05 17:24:06+02:00,0.087,0.066,,,
2025-06-05 17:24:07+02:00,,,,57.0,
2025-06-05 17:24:08+02:00,0.087,0.066,,,
2025-06-05 17:24:11+02:00,0.108,0.066,,,
2025-06-05 17:24:13+02:00,0.108,0.066,,,
2025-06-05 17:24:14+02:00,,,,62.0,
2025-06-05 17:24:16+02:00,0.097,0.066,,,
2025-06-05 17:24:17+02:00,,,,64.0,
2025-06-05 17:24:18+02:00,0.097,0.066,,,
2025-06-05 17:24:21+02:00,0.097,0.066,,,
2025-06-05 17:24:22+02:00,,,,64.0,
2025-06-05 17:24:23+02:00,0.116,0.066,,,
2025-06-05 17:24:26+02:00,0.116,0.066,,,
2025-06-05 17:24:29+02:00,0.112,0.066,,,
2025-06-05 17:24:31+02:00,0.104,0.066,,63.0,
2025-06-05 17:24:34+02:00,0.104,0.066,,61.0,
2025-06-05 17:24:36+02:00,0.104,0.066,,,
2025-06-05 17:24:39+02:00,0.091,0.066,,,
2025-06-05 17:24:41+02:00,0.091,0.066,,58.0,
2025-06-05 17:24:44+02:00,0.087,0.066,,57.0,
2025-06-05 17:24:47+02:00,0.082,0.066,,,
2025-06-05 17:24:49+02:00,0.082,0.066,,56.0,
2025-06-05 17:24:52+02:00,0.082,0.066,,56.0,
2025-06-05 17:24:54+02:00,0.082,0.066,,,
2025-06-05 17:24:57+02:00,0.082,0.066,,,
2025-06-05 17:24:59+02:00,0.082,0.066,,,5.0
2025-06-05 17:25:01+02:00,,,,56.0,
2025-06-05 17:25:02+02:00,0.097,0.066,,56.0,
2025-06-05 17:25:04+02:00,0.097,0.066,,,
2025-06-05 17:25:07+02:00,0.097,0.066,,58.0,
2025-06-05 17:25:10+02:00,0.097,0.066,,,
2025-06-05 17:25:12+02:00,0.097,0.066,,,5.8
2025-06-05 17:25:13+02:00,,,,64.0,
2025-06-05 17:25:15+02:00,0.116,0.066,,,
2025-06-05 17:25:17+02:00,0.121,0.066,,,
2025-06-05 17:25:20+02:00,0.121,0.066,,,
2025-06-05 17:25:21+02:00,,,,65.0,
2025-06-05 17:25:22+02:00,0.121,0.066,,65.0,
2025-06-05 17:25:25+02:00,0.108,0.066,,,
2025-06-05 17:25:28+02:00,0.108,0.066,,,
2025-06-05 17:25:30+02:00,0.108,0.066,,,
