timestamp,pupil_diameter_mm,iris_diameter_mm,pupil_iris_ratio,pupil_center_x,pupil_center_y,iris_center_x,iris_center_y,gaze_direction,gaze_offset_x_normalized,gaze_offset_y_normalized,gaze_magnitude,overall_confidence,concentricity_score,pupil_circularity,pupil_classification,pupil_size_category,pupil_detected,iris_detected
2025-06-06T15:55:33.902757,0.0,11.8,0.0,170,116,0,0,Center,0.0,0.0,0.0,0.22583608620854412,0.0,0.30111478161139216,Unknown,Unknown,True,False
2025-06-06T15:55:33.964744,0.0,11.8,0.0,160,131,0,0,Center,0.0,0.0,0.0,0.27792811247624866,0.0,0.3705708166349982,Unknown,Unknown,True,False
2025-06-06T15:55:34.020833,0.0,11.8,0.0,133,117,0,0,Center,0.0,0.0,0.0,0.48083550136650743,0.0,0.64111400182201,Unknown,Unknown,True,False
2025-06-06T15:55:34.081633,0.0,11.8,0.0,19,104,0,0,Center,0.0,0.0,0.0,0.4245582886109114,0.0,0.5660777181478819,Unknown,Unknown,True,False
2025-06-06T15:55:34.145263,0.0,11.8,0.0,103,121,0,0,Center,0.0,0.0,0.0,0.2559709968665093,0.0,0.34129466248867907,Unknown,Unknown,True,False
2025-06-06T15:55:34.209411,0.0,11.8,0.0,0,148,0,0,Center,0.0,0.0,0.0,0.29813539806052963,0.0,0.39751386408070616,Unknown,Unknown,True,False
2025-06-06T15:55:34.266897,2.95,11.8,0.25,157,126,124,116,Right,0.5892857142857143,0.17857142857142858,0.615747844627381,0.5779774544569903,0,0.4669661816854854,Normal,Normal,True,True
2025-06-06T15:55:34.319012,0.0,11.8,0.0,0,133,0,0,Center,0.0,0.0,0.0,0.23435487028276766,0.0,0.31247316037702355,Unknown,Unknown,True,False
2025-06-06T15:55:34.373798,0.0,11.8,0.0,0,136,0,0,Center,0.0,0.0,0.0,0.34774393387790814,0.0,0.46365857850387754,Unknown,Unknown,True,False
2025-06-06T15:55:34.434367,0.0,11.8,0.0,241,231,0,0,Center,0.0,0.0,0.0,0.2936945213259646,0.0,0.3915926951012861,Unknown,Unknown,True,False
2025-06-06T15:55:34.496115,0.0,11.8,0.0,123,69,0,0,Center,0.0,0.0,0.0,0.2677422093817766,0.0,0.3569896125090355,Unknown,Unknown,True,False
2025-06-06T15:55:34.551875,0.0,11.8,0.0,227,41,0,0,Center,0.0,0.0,0.0,0.2599104817180734,0.0,0.34654730895743124,Unknown,Unknown,True,False
2025-06-06T15:55:34.613846,0.0,11.8,0.0,115,125,0,0,Center,0.0,0.0,0.0,0.3927519097861105,0.0,0.5236692130481474,Unknown,Unknown,True,False
2025-06-06T15:55:34.665864,0.0,11.8,0.0,6,131,0,0,Center,0.0,0.0,0.0,0.2788267628940576,0.0,0.3717690171920768,Unknown,Unknown,True,False
2025-06-06T15:55:34.727996,0.0,11.8,0.0,31,238,0,0,Center,0.0,0.0,0.0,0.23459576375740349,0.0,0.31279435167653796,Unknown,Unknown,True,False
2025-06-06T15:55:34.789405,0.0,11.8,0.0,189,88,0,0,Center,0.0,0.0,0.0,0.23067047741503094,0.0,0.30756063655337457,Unknown,Unknown,True,False
2025-06-06T15:55:34.850514,0.0,11.8,0.0,6,129,0,0,Center,0.0,0.0,0.0,0.3110360576642991,0.0,0.4147147435523988,Unknown,Unknown,True,False
2025-06-06T15:55:34.909864,0.0,11.8,0.0,47,13,0,0,Center,0.0,0.0,0.0,0.3925556714015005,0.0,0.5234075618686673,Unknown,Unknown,True,False
2025-06-06T15:55:34.972035,0.0,11.8,0.0,91,128,0,0,Center,0.0,0.0,0.0,0.24349402267246878,0.0,0.324658696896625,Unknown,Unknown,True,False
